"Mauritania",4514.23,4649658,1030
"Bahrain",2238.91,1701575,760
"Bangladesh",1265.19,164689383,130170
"Barbados",668.31,287375,430
"Comoros",467.28,869601,1861
"Burundi",463.04,11890784,25680
"Belgium",382.75,11589623,30280
"Antigua and Barbuda",222.57,97929,440
"Andorra",164.39,77265,470
"China",153.31,1439323776,9388211
"Czechia (Czech Republic)",138.65,10708981,77240
"Denmark",136.51,5792202,42430
"Cyprus",130.67,1207359,9240
"Azerbaijan",122.66,10139177,82658
"Austria",109.29,9006398,82409
"Benin",107.51,12123200,112760
"Cuba",106.41,11326616,106440
"Albania",105.03,2877797,27400
"Armenia",104.08,2963243,28470
"Costa Rica",99.77,5094118,51060
"Dominica",95.98,71986,750
"Cambodia",94.71,16718965,176520
"Brunei",83.01,437479,5270
"Burkina Faso",76.40,20903273,273600
"Croatia",73.36,4105267,55960
"Bosnia and Herzegovina",64.33,3280819,51000
"Bulgaria",64.01,6948445,108560
"Afghanistan",59.63,38928346,652860
"Cameroon",56.16,26545863,472710
"Belarus",46.57,9449323,202910
"Colombia",45.86,50882891,1109500
"Djibouti",42.62,988000,23180
"Democratic Republic of the Congo",39.51,89561403,2267050
"Bahamas",39.29,393244,10010
"Angola",26.36,32866272,1246700
"Chile",25.71,19116201,743532
"Brazil",25.43,212559417,8358140
"Bhutan",20.24,771608,38117
"Algeria",18.41,43851044,2381740
"Belize",17.43,397628,22810
"Argentina",16.51,45195774,2736690
"Congo (Congo-Brazzaville)",16.16,5518087,341500
"Chad",13.04,16425864,1259200
"Bolivia",10.78,11673021,1083300
"Central African Republic",7.75,4829767,622980
"Botswana",4.15,2351627,566730
"Australia",3.32,25499884,7682300
"Côte",NaN,NaN,26378274
"Cabo",NaN,NaN,555987
"Gabon",8660.44,2225734,257
"Kazakhstan",6956.91,18776707,2699
"Guyana",4013.02,786552,196
"Libya",3906.36,6871292,1759
"Suriname",3760.46,586632,156
"Iceland",3412.43,341243,100
"Namibia",3087.37,2540905,823
"Mongolia",2110.94,3278290,1553
"Singapore 5,850,342",87.50,700,8
"Palestine State",847.41,5101414,6020
"Micronesia",784.16,548914,700
"Lebanon",667.20,6825445,10230
"Mauritius",626.49,1271768,2030
"San Marino",565.52,33931,60
"Nauru",541.20,10824,20
"South Korea",527.30,51269185,97230
"Rwanda",525.02,12952218,24670
"Netherlands",508.15,17134872,33720
"India",464.15,1380004385,2973190
"Haiti",413.73,11402528,27560
"Israel",399.98,8655535,21640
"Tuvalu",393.07,11792,30
"Philippines",367.51,109581078,298170
"Japan",346.93,126476461,364555
"Sri Lanka",341.46,21413249,62710
"Grenada",330.95,112523,340
"Marshall Islands",328.83,59190,180
"Vietnam",313.92,97338579,310070
"El Salvador",313.04,6486205,20720
"Saint Lucia",301.03,183627,610
"Pakistan",286.55,220892340,770880
"Saint Vincent and the Grenadines",284.46,110940,390
"United Kingdom",280.60,67886011,241930
"Jamaica",273.42,2961167,10830
"Trinidad and Tobago",272.80,1399488,5130
"Qatar",248.15,2881053,11610
"Luxembourg",241.69,625978,2590
"Germany",240.37,83783942,348560
"Kuwait",239.65,4270571,17820
"Gambia",238.80,2416668,10120
"Liechtenstein",238.30,38128,160
"Uganda",228.92,45741007,199810
"Sao Tome and Principe",228.29,219159,960
"Nigeria",226.34,206139589,910770
"Dominican Republic",224.50,10847910,48320
"Switzerland",219.02,8654622,39516
"North Korea",214.09,25778816,120410
"Seychelles",213.80,98347,460
"Italy",205.55,60461826,294140
"Saint Kitts and Nevis",204.61,53199,260
"Nepal",203.26,29136808,143350
"Malawi",202.91,19129952,94280
"Guatemala",167.19,17915568,107160
"Togo",152.21,8278724,54390
"Indonesia",150.99,273523615,1811570
"Kiribati",147.47,119449,810
"Tonga",146.80,105695,720
"Thailand",136.62,69799978,510890
"Ghana",136.56,31072940,227540
"Poland",123.59,37846611,306230
"Moldova",122.80,4033963,32850
"France",119.21,65273511,547557
"United Arab Emirates",118.31,9890402,83600
"Ethiopia",114.96,114963588,1000000
"Jordan",114.93,10203134,88780
"Slovakia",113.53,5459642,48088
"Portugal",111.33,10196709,91590
"Sierra Leone",110.52,7976983,72180
"Turkey",109.58,84339067,769630
"Hungary",106.71,9660351,90530
"Slovenia",103.22,2078938,20140
"Egypt",102.80,102334404,995450
"Serbia",99.90,8737371,87460
"Malaysia",98.51,32365999,328550
"Syria",95.30,17500658,183630
"Kenya",94.48,53771296,569140
"Spain",93.73,46754778,498800
"Iraq",92.61,40222493,434320
"Timor-Leste",88.66,1318445,14870
"Honduras",88.52,9904607,111890
"Senegal",86.97,16743927,192530
"Romania",83.58,19237691,230170
"Myanmar (formerly Burma)",83.29,54409800,653290
"Morocco",82.70,36910560,446300
"North Macedonia",82.61,2083374,25220
"Greece",80.86,10423054,128900
"Uzbekistan",78.68,33469203,425400
"Tunisia",76.07,11818619,155360
"Ukraine",75.49,43733762,579320
"Ireland",71.68,4937786,68890
"Ecuador",71.04,17643054,248360
"Lesotho",70.56,2142249,30360
"Samoa",70.11,198414,2830
"Guinea-Bissau",69.99,1968001,28120
"Tajikistan",68.15,9537645,139960
"Eswatini (fmr. "Swaziland")",67.45,1160164,17200
"Tanzania",67.44,59734218,885800
"Yemen",56.49,29825964,527970
"Nicaragua",55.05,6624554,120340
"South Africa",48.89,59308690,1213090
"Madagascar",47.60,27691018,581795
"Montenegro",46.70,628066,13450
"Lithuania",43.44,2722289,62674
"Maldives 540,544",300.00,300,1
"Zimbabwe",38.42,14862924,386850
"United States of America",36.19,331002651,9147420
"Venezuela",32.24,28435940,882050
"Somalia",25.33,15893222,627340
"Vanuatu",25.20,307145,12190
"Sudan",24.84,43849260,1765048
"Zambia",24.73,18383955,743390
"Sweden",24.61,10099265,410340
"Solomon Islands",24.54,686884,27990
"Uruguay",19.85,3473730,175020
"South Sudan",18.32,11193725,610952
"Mali",16.60,20250833,1220190
"Malta 441,543",320.00,320,1
"Mexico",66.33,128932753,1943950
"Monaco 39,242",0.04,1,26
"Panama",58.04,4314767,74340
"Georgia",57.41,3989167,69490
"Guinea",53.45,13132795,245720
"Liberia",52.51,5057681,96320
"Iran",51.58,83992949,1628550
"Equatorial Guinea",50.02,1402985,28050
"Fiji",49.07,896445,18270
"Mozambique",39.75,31255435,786380
"Palau",39.33,18094,460
"Eritrea",35.11,3546421,101000
"Kyrgyzstan",34.02,6524195,191800
"Laos",31.52,7275560,230800
"Estonia",31.29,1326535,42390
"Latvia",30.32,1886198,62200
"Peru",25.76,32971854,1280000
"Papua New Guinea",19.76,8947024,452860
"Niger",19.11,24206644,1266700
"New Zealand",18.31,4822233,263310
"Finland",18.23,5540720,303890
"Paraguay",17.95,7132538,397300
"Oman",16.50,5106626,309500
"Saudi Arabia",16.19,34813871,2149690
"Norway",14.84,5421241,365268
"Turkmenistan",12.83,6031200,469930
"Russia",8.54,145934462,17098246
"Canada",4.15,37742154,9093510
"Holy See 801",0.00,0,2
